match_id,match_seq_num,radiant_win,start_time,duration,tower_status_radiant,tower_status_dire,barracks_status_radiant,barracks_status_dire,first_blood_time,positive_votes,negative_votes,radiant_score,dire_score
2305529774,2020368182,False,1461071259,3027,0,1828,0,63,144,0,0,,
2305524057,2020367618,True,1461071086,3345,1926,4,51,3,122,0,0,,
2305515207,2020368006,False,1461070862,3418,0,1796,0,51,114,0,0,,
2305535299,2020371212,False,1461071419,2718,0,1844,0,63,355,1,0,,
2305555813,2020373665,True,1461071933,2666,2038,0,63,0,138,0,0,,
2305521854,2020367949,False,1461071043,3155,4,2036,3,63,161,0,0,,
2305549162,2020369373,True,1461071774,2510,1828,0,63,0,15,0,0,,
2305567663,2020374603,False,1461072235,2245,0,1958,2,63,144,0,0,,
2305549057,2020378083,False,1461071773,3015,0,2020,0,63,87,0,0,,
2305545213,2020369087,False,1461071675,2575,4,1844,3,63,208,0,0,,
2305584184,2020369917,True,1461072643,1877,1983,0,63,0,26,0,0,,
2305544112,2020370822,False,1461071651,2714,0,1972,0,63,176,0,0,,
2305584831,2020372304,True,1461072658,1896,1982,256,63,48,257,0,0,,
2305609060,2020374700,False,1461073245,1382,768,2046,48,63,60,0,0,,
2305543294,2020368971,False,1461071636,2555,0,1590,0,63,0,0,0,,
2305512001,2020373655,False,1461070788,3656,390,1540,51,51,89,0,0,,
2305559498,2020373334,False,1461072031,2438,256,1958,48,63,100,0,0,,
2305518947,2020369805,False,1461070976,3174,384,1844,48,63,125,0,0,,
2305526489,2020370261,True,1461071177,3061,1846,0,63,0,32,0,0,,
2305555130,2020368293,False,1461071908,2452,0,1828,0,63,167,0,0,,
2305537219,2020376396,False,1461071474,3164,0,1828,0,63,329,0,0,,
2305577092,2020377989,True,1461072464,2043,2023,4,63,3,152,0,0,,
2305562736,2020370435,False,1461072108,2370,0,1974,0,63,124,0,0,,
2305585161,2020371420,True,1461072668,1607,1974,0,63,0,9,0,0,,
2305579060,2020372301,True,1461072500,2015,2039,36,63,15,400,0,0,,
2305545537,2020372915,False,1461071660,2668,388,1958,51,63,291,0,0,,
2305572880,2020370756,False,1461072358,1912,0,1974,0,63,1,0,0,,
2305550387,2020348664,True,1461071799,2038,2046,0,63,0,371,0,0,,
2305544985,2020376872,True,1461071669,2853,1926,4,55,3,162,0,0,,
